attained_age,annual_mort_rate_m,annual_mort_rate_f,annual_disability_rate,m_nh_rate_per_100,f_nh_rate_per_100,m_nh_cont_rate_60day,f_nh_cont_rate_60day
0,0.001605,0.001621,0.00052,0,0,0.7468,0.8044
1,0.000401,0.000405,0.00052,0,0,0.7468,0.8044
2,0.000275,0.000259,0.00052,0,0,0.7468,0.8044
3,0.000229,0.000179,0.00052,0,0,0.7468,0.8044
4,0.000174,0.000137,0.00052,0,0,0.7468,0.8044
5,0.000168,0.000125,0.00052,0,0,0.7468,0.8044
6,0.000165,0.000117,0.00052,0,0,0.7468,0.8044
7,0.000159,0.00011,0.00052,0,0,0.7468,0.8044
8,0.000143,0.000095,0.00052,0,0,0.7468,0.8044
9,0.000129,0.000088,0.00052,0,0,0.7468,0.8044
10,0.000113,0.000085,0.00052,0,0,0.7468,0.8044
11,0.000111,0.000086,0.00052,0,0,0.7468,0.8044
12,0.000132,0.000094,0.00052,0,0,0.7468,0.8044
13,0.000169,0.000108,0.00052,0,0,0.7468,0.8044
14,0.000213,0.000131,0.00052,0,0,0.7468,0.8044
15,0.000254,0.000156,0.00052,0,0,0.7468,0.8044
16,0.000293,0.000179,0.00052,0,0,0.7468,0.8044
17,0.000328,0.000198,0.000565,0,0,0.7468,0.8044
18,0.000359,0.000211,0.00065,0,0,0.7468,0.8044
19,0.000387,0.000221,0.000725,0,0,0.7468,0.8044
20,0.000414,0.000228,0.00079,0,0,0.7468,0.8044
21,0.000443,0.000234,0.00085,0,0,0.7468,0.8044
22,0.000473,0.00024,0.0009,0,0,0.7468,0.8044
23,0.000513,0.000245,0.00094,0,0,0.7468,0.8044
24,0.000554,0.000247,0.00098,0,0,0.7468,0.8044
25,0.000602,0.00025,0.00101,0,0,0.7468,0.8044
26,0.000655,0.000256,0.001035,0,0,0.7468,0.8044
27,0.000688,0.000261,0.00106,0,0,0.7468,0.8044
28,0.00071,0.00027,0.001085,0,0,0.7468,0.8044
29,0.000727,0.000281,0.00111,0,0,0.7468,0.8044
30,0.000741,0.0003,0.001135,0.05,0.02,0.7468,0.8044
31,0.000751,0.000321,0.001165,0.04,0.02,0.7468,0.8044
32,0.000754,0.000338,0.001195,0.04,0.02,0.7468,0.8044
33,0.000756,0.000351,0.001225,0.04,0.02,0.7468,0.8044
34,0.000756,0.000365,0.001265,0.03,0.02,0.7468,0.8044
35,0.000756,0.000381,0.001315,0.03,0.02,0.7468,0.8044
36,0.000756,0.000402,0.00137,0.03,0.02,0.7468,0.8044
37,0.000756,0.000429,0.001435,0.03,0.02,0.7468,0.8044
38,0.000756,0.000463,0.00151,0.04,0.02,0.7468,0.8044
39,0.0008,0.000504,0.001595,0.05,0.02,0.7468,0.8044
40,0.000859,0.00054648,0.001685,0.06,0.02,0.7468,0.8044
41,0.000926,0.00058806,0.001785,0.07,0.03,0.7468,0.8044
42,0.000999,0.000630694,0.001895,0.09,0.03,0.7468,0.8044
43,0.00105831,0.000669535,0.00201,0.11,0.03,0.7468,0.8044
